context,distance,strategy,overlap_with_golddigger,fit_mean,fit_min,below_floor,novelty_mean,redundancy,role_dup
f96808653f5e:0,10,random,0.0,0.540135370796935,0.25314531509396054,0.25,0.4659977064220183,0.24104788899421692,0.125
f96808653f5e:0,10,metadata,0.0,0.818864763260102,0.7915286966001727,0.0,0.7289564220183486,0.3942743241786957,0.0
f96808653f5e:0,10,nearest,0.0,0.3802823611696944,0.16274966652993636,0.625,0.0020642201834862386,0.9285425543785095,1.0
f96808653f5e:0,10,inverse,0.14285714285714285,0.4409650231481074,0.2414226675321404,0.625,0.10022935779816514,0.7699828147888184,0.125
f96808653f5e:0,10,band_nofit,0.23076923076923078,0.39169035231399263,0.1933864686750576,0.625,0.10384174311926606,0.47788554430007935,0.625
f96808653f5e:0,10,golddigger,1.0,0.5209676965484844,0.451884821175608,0.0,0.09885321100917432,0.5649527311325073,0.625
f96808653f5e:0,30,random,0.0,0.540135370796935,0.25314531509396054,0.25,0.4659977064220183,0.24104788899421692,0.125
f96808653f5e:0,30,metadata,0.0,0.818864763260102,0.7915286966001727,0.0,0.7289564220183486,0.3942743241786957,0.0
f96808653f5e:0,30,nearest,0.0,0.3802823611696944,0.16274966652993636,0.625,0.0020642201834862386,0.9285425543785095,1.0
f96808653f5e:0,30,inverse,0.06666666666666667,0.3515533190083526,0.05300297703491573,0.625,0.3002293577981652,0.3330320417881012,0.625
f96808653f5e:0,30,band_nofit,0.23076923076923078,0.41021882133785703,0.21051744592123015,0.625,0.30108944954128447,0.28503021597862244,0.375
f96808653f5e:0,30,golddigger,1.0,0.6576123011244204,0.5904644259716625,0.0,0.30160550458715596,0.34965038299560547,0.0
f96808653f5e:0,50,random,0.0,0.540135370796935,0.25314531509396054,0.25,0.4659977064220183,0.24104788899421692,0.125
f96808653f5e:0,50,metadata,0.0,0.818864763260102,0.7915286966001727,0.0,0.7289564220183486,0.3942743241786957,0.0
f96808653f5e:0,50,nearest,0.0,0.3802823611696944,0.16274966652993636,0.625,0.0020642201834862386,0.9285425543785095,1.0
f96808653f5e:0,50,inverse,0.14285714285714285,0.48009324293920486,0.24117364771543556,0.5,0.49977064220183487,0.306926965713501,0.375
f96808653f5e:0,50,band_nofit,0.14285714285714285,0.4975766040909139,0.20426906777783882,0.375,0.49936926605504584,0.2844659388065338,0.0
f96808653f5e:0,50,golddigger,1.0,0.6527683757273286,0.4600483677526106,0.0,0.5000573394495413,0.23486287891864777,0.0
f96808653f5e:0,70,random,0.0,0.540135370796935,0.25314531509396054,0.25,0.4659977064220183,0.24104788899421692,0.125
f96808653f5e:0,70,metadata,0.0,0.818864763260102,0.7915286966001727,0.0,0.7289564220183486,0.3942743241786957,0.0
f96808653f5e:0,70,nearest,0.0,0.3802823611696944,0.16274966652993636,0.625,0.0020642201834862386,0.9285425543785095,1.0
f96808653f5e:0,70,inverse,0.06666666666666667,0.337943687916595,0.19369921481438118,0.875,0.6997706422018348,0.4791421890258789,0.0
