rank,chunk_id,path,role,bpm,tonic,is_major,key_confidence,fit,novelty,H,R,P,distance,fit_floor
1,3d2470c2b44c:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV1_1.0.1 2/16Bit Samples/VE/Loops/VE_Loop3_75_Bbm.wav,,75.0,G#,1,0.005,0.712,0.1,0.599,1.0,0.6,10.0,0.45
2,b006bc35e0c9:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Dark Techno/16Bit Samples/Bass/DKT1_02_126bpm_ Bass_A.wav,bass,157.9,E,0,0.002,0.56,0.101,0.6,0.291,1.0,10.0,0.45
3,32c398337474:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV1_1.0.1 2/24Bit Samples/MG/Bass 3/MG_Bass3_02_E0.wav,bass,,E,1,0.836,0.597,0.089,0.353,0.6,1.0,10.0,0.45
4,0dc7d24bf317:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV2_1.0.1 2/24Bit Samples/Organ/One Shots/m7/Organ_Chord3_Bbm7.wav,harmony,75.0,A#,0,0.027,0.53,0.114,0.592,1.0,0.25,10.0,0.45
5,eac7badc1dd0:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV1_1.0.1 2/24Bit Samples/VE/One Shots/FX/VE_FX2.wav,fx,,G,1,0.74,0.533,0.085,0.251,0.6,1.0,10.0,0.45
6,2fe9d84bb2bc:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Synth Pop/24Bit/Loops/Synth/Synth_Breathe_100_Cmaj.wav,harmony,111.1,E,0,0.27,0.467,0.087,0.547,0.742,0.25,10.0,0.45
1,56e77945d3f0:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV2_1.0.1 2/24Bit Samples/Clav/One Shots/Runs/Clav_Run4_F#.wav,,,D#,0,0.016,0.601,0.301,0.6,0.6,0.6,30.0,0.45
2,dfdace8b00ac:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Synth Pop/24Bit/One-shots/Toms/Low/Low 4.wav,,,G,0,0.122,0.59,0.301,0.568,0.6,0.6,30.0,0.45
3,29cb3f09c5b7:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV1_1.0.1 2/24Bit Samples/OB/FX/OB_Riser1.wav,fx,,G,1,0.0,0.712,0.296,0.6,0.6,1.0,30.0,0.45
4,67b67d9771df:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV2_1.0.1 2/24Bit Samples/EP1/Loops/EP1_Loop09_75_Gm.wav,,75.0,G,1,0.417,0.624,0.316,0.402,1.0,0.6,30.0,0.45
