rank,chunk_id,path,role,bpm,tonic,is_major,key_confidence,fit,novelty,H,R,P,distance,fit_floor
1,206c2fff4172:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Synth Pop/16Bit/One-shots/Cymbals/Open Hi-hat/Open 5.wav,drums,140.0,C#,0,0.14,0.612,0.099,0.546,0.417,1.0,10.0,0.45
2,468572202a62:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Dark Techno/24Bit Samples/Drum/DKT1_09_126bpm_ Snare.wav,drums,90.0,B,0,0.053,0.841,0.119,0.594,1.0,1.0,10.0,0.45
3,77c9fbf376ca:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV2_1.0.1 2/24Bit Samples/EP2/One Shots/Maj9/EP2_Chord3_EbMaj9.wav,harmony,90.0,G#,1,0.127,0.526,0.127,0.578,1.0,0.25,10.0,0.45
4,b7a7f9d3d723:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV1_1.0.1 2/24Bit Samples/OB/Trills/OB_Trill_09_A4.wav,fx,174.0,D#,1,0.056,0.645,0.102,0.602,0.443,1.0,10.0,0.45
5,95635aae6798:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/RolandCloud_MelodicTechHouse_1.0.0/16Bit Files/ONE SHOTS/CYMBALS/OPEN HATS/03 OPEN HAT.wav,drums,140.0,C,0,0.008,0.632,0.096,0.602,0.417,1.0,10.0,0.45
6,e2ebd8240e35:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/RolandCloud_MelodicTechHouse_1.0.0/16Bit Files/ONE SHOTS/KICKS SNARES CLAPS/KICKS/02 KICK.wav,drums,140.0,E,0,0.18,0.631,0.097,0.601,0.417,1.0,10.0,0.45
1,815271272601:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Dark Techno/16Bit Samples/Bass/DKT1_16_126bpm_ Bass_E.wav,bass,90.0,D#,0,0.205,0.829,0.299,0.567,1.0,1.0,30.0,0.45
2,7b8421a55860:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/BMSP_SourceV1_1.0.1 2/24Bit Samples/OB/Square/OB_Square_11_Gb4.wav,fx,85.0,G#,1,0.059,0.532,0.303,0.59,0.253,1.0,30.0,0.45
3,da0a699bdefd:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/Roland Cloud - Dark Techno/16Bit Samples/Drum Hits/Perc/DKT1_Perc_ 05.wav,drums,90.0,G#,0,0.134,0.827,0.298,0.563,1.0,1.0,30.0,0.45
4,8b702de8de78:0,/Volumes/Mac-Storage/Samples/Keys & Synths/Roland Samples/RolandCloud_MelodicTechHouse_1.0.0/24Bit Files/ONE SHOTS/PERCUSSION/02 PERCUSSION.wav,drums,85.0,D#,1,0.039,0.535,0.303,0.601,0.253,1.0,30.0,0.45
