rank,chunk_id,path,role,bpm,tonic,is_major,key_confidence,fit,novelty,H,R,P,distance,fit_floor
1,57e4a2103ddd:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Crash/Vintage/wa-triaz-crash-vintage-707_huge_02.wav,drums,85.0,A,1,0.078,0.828,0.1,0.622,0.91,1.0,10.0,0.45
2,a908f171afc6:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/HiHat Open/Room/wa-triaz-hihat_open-room-phaze_nine.wav,drums,85.0,A,0,0.013,0.82,0.101,0.604,0.91,1.0,10.0,0.45
3,58597d815105:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Crash/Bright/wa-triaz-crash-bright-narrow_slice.wav,drums,90.0,F#,1,0.04,0.55,0.099,0.594,0.278,1.0,10.0,0.45
4,5b4facb38fcd:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Hand Drum/African/wa-triaz-hand_drum-african-primal_tonings.wav,drums,120.0,B,1,0.048,0.503,0.1,0.596,0.212,1.0,10.0,0.45
5,a5dad697623a:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Tom/Acoustic/wa-triaz-tom-acoustic-hot_chip_01.wav,drums,90.0,C#,1,0.065,0.547,0.1,0.586,0.278,1.0,10.0,0.45
6,4457bd9fdeb2:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/HiHat Open/Bright/wa-triaz-hihat_open-bright-brescia.wav,drums,120.0,F#,0,0.036,0.504,0.101,0.601,0.212,1.0,10.0,0.45
7,0fd841f3b636:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Perc Electronic/Glitch/wa-triaz-perc_elec-glitch-click_warps.wav,melody,90.0,G#,1,0.014,0.551,0.099,0.597,0.278,1.0,10.0,0.45
8,5fa8dbe92f68:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Foley/Perc/wa-triaz-foley-perc-h2o_01.wav,fx,90.0,F#,1,0.125,0.544,0.102,0.576,0.278,1.0,10.0,0.45
1,bf0c276313c5:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Triaz Core 01/Rimshot/Lofi/wa-triaz-rimshot-lofi-vintage_pat.wav,drums,120.0,F,1,0.039,0.505,0.3,0.602,0.212,1.0,30.0,0.45
2,fdbd1f1c5a16:0,/Users/zacharyscheffler/Music/Wave Alchemy/Triaz/Triaz Expansions/Tape Toys/Blocks & Bells/Blocks/wa-tape_toys-blocks_&_bells-blocks-digi_block.wav,melody,128.0,A,0,0.059,0.855,0.299,0.622,1.0,1.0,30.0,0.45
